dataset,video_key,method,fscore,selected_ratio,adaptive_semantic_weight
SumMe,video_15,Ours-Adaptive,0.5524926686217009,0.14878608923884515,0.7470348838728404
SumMe,video_16,Visual-BiLSTM-Strict,0.2860335195530726,0.14714518760195758,0.4859563865657159
SumMe,video_16,CLIP-only,0.2860335195530726,0.14714518760195758,0.4859563865657159
SumMe,video_16,Fixed-Fusion,0.2860335195530726,0.14714518760195758,0.4859563865657159
SumMe,video_16,Ours-Adaptive,0.2860335195530726,0.14714518760195758,0.4859563865657159
SumMe,video_17,Visual-BiLSTM-Strict,0.3537832310838446,0.14918449797994912,0.6026621258435494
SumMe,video_17,CLIP-only,0.34253578732106343,0.14918449797994912,0.6026621258435494
SumMe,video_17,Fixed-Fusion,0.3528811830698623,0.1499326649708215,0.6026621258435494
SumMe,video_17,Ours-Adaptive,0.42937276899541055,0.1499326649708215,0.6026621258435494
SumMe,video_18,Visual-BiLSTM-Strict,0.6156299840510367,0.13912651958577218,0.6709135159401558
SumMe,video_18,CLIP-only,0.44955752212389377,0.13687528140477262,0.6709135159401558
SumMe,video_18,Fixed-Fusion,0.6156299840510367,0.13912651958577218,0.6709135159401558
SumMe,video_18,Ours-Adaptive,0.6156299840510367,0.13912651958577218,0.6709135159401558
SumMe,video_19,Visual-BiLSTM-Strict,0.607758620689655,0.14848657909765847,0.47700700868435364
SumMe,video_19,CLIP-only,0.28633405639913234,0.13992004568817817,0.47700700868435364
SumMe,video_19,Fixed-Fusion,0.28633405639913234,0.13992004568817817,0.47700700868435364
SumMe,video_19,Ours-Adaptive,0.28633405639913234,0.13992004568817817,0.47700700868435364
SumMe,video_20,Visual-BiLSTM-Strict,0.5736704446381867,0.148071447061869,0.6049654265151834
SumMe,video_20,CLIP-only,0.3443478260869565,0.14884804556044526,0.6049654265151834
SumMe,video_20,Fixed-Fusion,0.3443478260869565,0.14884804556044526,0.6049654265151834
SumMe,video_20,Ours-Adaptive,0.3443478260869565,0.14884804556044526,0.6049654265151834
SumMe,video_21,Visual-BiLSTM-Strict,0.23760177646188008,0.14940033085194376,0.6361531105094645
SumMe,video_21,CLIP-only,0.38227938549481955,0.14960711331679075,0.6361531105094645
SumMe,video_21,Fixed-Fusion,0.4170657379190248,0.14971050454921422,0.6361531105094645
SumMe,video_21,Ours-Adaptive,0.4170657379190248,0.14971050454921422,0.6361531105094645
SumMe,video_22,Visual-BiLSTM-Strict,0.4188204108681246,0.14503669370413286,0.6334117456051823
SumMe,video_22,CLIP-only,0.37152103559870553,0.1481266898416377,0.6334117456051823
SumMe,video_22,Fixed-Fusion,0.3161711385061639,0.14831981460023175,0.6334117456051823
SumMe,video_22,Ours-Adaptive,0.3161711385061639,0.14831981460023175,0.6334117456051823
SumMe,video_23,Visual-BiLSTM-Strict,0.6666666666666667,0.14993153811045185,0.48427017294118857
SumMe,video_23,CLIP-only,0.6672443674176777,0.14970333181195802,0.48427017294118857
SumMe,video_23,Fixed-Fusion,0.6666666666666667,0.14993153811045185,0.48427017294118857
SumMe,video_23,Ours-Adaptive,0.6666666666666667,0.14993153811045185,0.48427017294118857
SumMe,video_24,Visual-BiLSTM-Strict,0.23803009575923392,0.14063714063714064,0.5504349003045959
SumMe,video_24,CLIP-only,0.20145985401459857,0.14296814296814297,0.5504349003045959
SumMe,video_24,Fixed-Fusion,0.23803009575923392,0.14063714063714064,0.5504349003045959
SumMe,video_24,Ours-Adaptive,0.23803009575923392,0.14063714063714064,0.5504349003045959
SumMe,video_25,Visual-BiLSTM-Strict,0.55930359085963,0.14647435897435898,0.6600708807045818
SumMe,video_25,CLIP-only,0.5763440860215053,0.15,0.6600708807045818
SumMe,video_25,Fixed-Fusion,0.5763440860215053,0.15,0.6600708807045818
SumMe,video_25,Ours-Adaptive,0.5763440860215053,0.15,0.6600708807045818
